listing_id,comments,keywords,sentiment
9596,"The apartment was nice and comfortable. Plenty of room for my husband, myself and his mother. The only thing to consider is that the stairs into the apartment are very steep, so be aware if you have young children or elderly. Otherwise it was perfect for our needs. Joyce has put together a nice little spot for her guests. It is central to all of the Seattle hotspots. Definitely would stay here again, if we find ourselves overnighting in Seattle again. Thanks Joyce!!!<br/>","stair, elderly",Negative
25002,"Amanda was an amazing host. She was flexible with our arrival and departure times and even made us some delicious welcome brownies. She provided us with detailed instructions on the available  amenities and everything was as described. Also,the space was wheelchair accessible which was perfect for our family. We would definitely stay again. ","wheelchair, accessible",Positive
210316,"Flor was kind enough to host a friend of mine who was suddenly unemployed due to an illness and yet the disability application was being delayed. So I did not, personally, stay at the house although I paid for the room.<br/>My friend, however, stayed for about a year and found the location to be excellent, particularly for her needs, Flor is friendly and outgoing, the prices are extremely reasonable, the other guests in residence at the time were all courteous and quiet, and everything in the home is kept meticulously clean. This last factor, obviously, became extremely important in March (2020) when the pandemic hit Seattle like a tsunami. Flor immediately stopped taking in new renters and kept her long term guests extra safe and well cared for by adding an extra level of cleaning and some other special loving touches. That?Âs just the kind of host Flor is, she worries about each and every guest and that kind of care shows. <br/>This was just the kind of place my friend needed be to get back on her feet and it happened to be a great place to weather the storm of Covid-19. She is doing so very much better now and I credit a lot of that to Flor?Âs special care and amazing hospitality! <br/>I highly recommend this location, whether you?Âre looking for a room for one night, one week, one month, or even a whole year! <br/>Thank you so much, Flor! You are a spectacular human! ?Â¤Ã¯Â¸Â",disability,Neutral
340706,"Wonderful stay.  Hosts were very organized and informative.  Great neighborhood.  Very relaxed.   Apartment is extremely clean, well furnished, modern and comfortable.   Lots of amenities -- washer dryer, children's high chair and pack and play, books, television with netflix and apple tv........   There are some steps up to the front of the house and then steps down into the apartment for those who are elderly or avoid stairs.","stair, step, elderly",Negative
365550,"Our schedules didn't coincide enough to be able to meet Dirk & Jaq, but we had plentiful email communication before and after our stay and they were accommodating and communicative throughout. The place worked fine for our needs, a bit funky in all the best ways, with a loft, artsy backdrop, shared bathroom (though there are two, both spacious) and heart-of-downtown location. Had a kind of hip European vibe, which we enjoyed quite a bit.
<br/>
<br/>Great location next to the ballpark and a gob of restaurants & bars; 20 minutes or so walk to Pike's Market. It being downtown, parking is a bit tricky, but manageable if you pay attention and have decent city wiles. Wouldn't recommend the elderly or infirm (or severely-under-the-influence) climbing the ladder to the loft, but for all other comers, it's a great spot at a very fair price. We would return!","elderly, spacious",Negative
565703,What a wonderful home! More spacious than I expected. Exactly as described. A huge bonus for us was how effortless it was to access with a wheelchair. Lots of places within easy walking distance.  I can?Ât say enough! We loved our stay!?Â¤Ã¯Â¸Â,"wheelchair, spacious",Positive
793629,"About the house:<br/>The house is conveniently located minutes from down town. If downtown is where you are going to be spending your time then this is a great house to check in to. <br/>It is cozy, and fit me and my wife comfortably. Though there wasn't enough storage in the bedroom for our luggage (1 large 2 small) so we just had them out on the floor next to the bed. The entire house was clean and organized. The bathroom had extra toiletries which was great, even though we didn't have to use them. The only details that weren't convenient were that it was always a struggle to get the bedroom door closed, and that the only way to get to the house was a steep set of stairs (this would make it very hard for someone in a wheelchair or with a physical disability to access the house.<br/>Location:<br/>The location of the house is great. There is a grocery store within walking distance and a few coffee shops as well. And if you don't feel like driving downtown and paying $10-$30 on parking there are a some good places to eat close by. Our favorite is a Mexican food truck called Taqueria El Asador. Being Mexican myself i can assure you this is authentic mexican food. Some of the streets get cramped if there are cars parked on both sides so they sometimes become one way streets and we needed to be careful when driving down them.<br/>Our stay here was just what we had hoped for. We definitely recommend it to a single or a couple wanting a place to stay while visiting Seattle. Thank you Candace!","wheelchair, stair, ramp, disability, large",Negative
1000883,"What you will find: a welcoming host, a beautiful place to stay, and one of the more accessible (as a wheelchair user who travels with a care provider) places I've stayed while traveling! Thank you! Note: bathroom dimensions necessitate parking wheelchair just outside bathroom door.","wheelchair, accessible",Positive
1246769,"For two visitors on vacation from the UK this flat has the perfect downtown location - a few minutes walk from the central shopping area, and 20 minutes walk from Pikes Place, with the monorail station (to access the expo area) no more than 10 minutes away.<br/>Access arrangements worked perfectly.  The flat was beautifully clean and more than adequately equipped for our 3 day stay.  The bed was comfortable and the lounge with large TV was relaxing.<br/>The noise of traffic on the freeway nearby was to be expected and the price you pay for the great location.<br/>Good to have the use of a visitors' parking permit, as parking police are VERY vigilant - we were given a $450 fine within minutes of arriving, our fault for parking in a confusing disabled parking area outside the flat!  Thankfully we spotted the ticket being slapped on the windscreen from the window and ran down and persuaded the kind policeman to take pity on us!  From then on we found (with difficulty at times) spaces within 10 minutes walk of the flat.<br/>We'd be more than happy to return if in Seattle again.  Thank you to Jaq and Dirk for their prompt replies and use of their beautiful property.","disabled, large",Neutral
1351716,"The cottage is just as described.   Tidy and comfortable.   My GPS somehow led me astray, but I sent a message on Airbnb's site and got a nearly instantaneous response from Bill.  He stood out on the curb to guide me to a convenient parking space on the street. Then he kindly assisted me with carrying my bags  to the rental's entrance.   There are 4 or 5 steps up from the street and another few  up to the cottage door,  so not wheelchair accessible but that wasn't an issue for me.   The location is very convenient for exploring Seattle, a  Lyft driver showed up within 5 minutes of my request so I didn't have to worry about downtown parking.   Bed was comfortable,  plenty of space to stretch out and relax.  Perfect for a home away from home experience in the city.","wheelchair, step, accessible",Negative
